,0
I,3425
to,1634
and,1380
the,1282
you,1189
my,895
for,838
that,751
love,721
of,718
all,557
am,525
have,515
a,507
is,500
in,491
me,393
your,322
know,317
not,315
will,314
be,306
you.,290
this,278
it,246
want,245
would,242
with,238
like,236
me.,226
I'm,212
what,211
on,202
are,186
thank,182
was,176
family,174
God,174
but,173
hope,164
sorry,154
just,150
You,146
say,142
forgive,142
To,137
can,130
going,129
Thank,129
"you,",126
as,126
don't,123
we,123
been,121
do,119
there,115
them,115
see,114
they,112
no,111
who,109
did,106
all.,105
so,102
it.,97
people,96
take,95
one,94
sorry.,94
tell,93
has,91
he,89
"family,",89
at,87
And,87
Lord,86
ask,85
here,84
The,84
out,83
find,82
or,80
get,79
family.,78
pain,77
give,77
Jesus,75
from,75
had,75
being,74
their,74
life,73
up,68
go,68
keep,67
if,66
because,66
by,66
Warden.,65
about,65
We,64
He,64
This,63
her,62
peace,62
death,61
through,61
never,61
-,60
could,60
this.,59
got,58
pray,58
when,58
"Yes,",57
always,57
them.,56
My,56
That's,55
caused,55
come,54
an,54
ya'll,54
any,54
didn't,54
loved,53
I'll,53
us,53
those,53
"me,",53
let,52
care,52
do.,51
y'all,51
It,51
only,50
If,50
done,49
peace.,49
time,49
very,49
ready,48
right,48
life.,48
everybody,48
years,47
strong.,47
I've,47
everyone,47
stay,46
some,46
over,46
good,46
Yes,46
these,46
make,45
lot,45
heart,45
Tell,45
apologize,44
ya'll.,44
wish,44
But,43
There,43
his,41
each,41
really,41
other,41
done.,41
it's,40
say.,40
day,40
can't,40
there.,39
still,39
Lord.,39
how,38
All,38
our,38
way,38
friends,38
back,37
bless,37
feel,36
nothing,36
kill,36
Take,35
Please,34
hate,34
now,34
strong,34
Mr.,34
home,34
innocent,34
love.,33
man,33
That,33
everything,33
were,33
appreciate,33
They,32
every,32
may,32
man.,32
think,32
something,32
It's,32
God.,32
things,32
truly,32
more,31
must,31
where,31
that's,31
last,30
continue,30
hurt,30
home.,30
For,29
heart.,29
bring,29
forgiveness,29
down,29
Keep,29
"all,",29
"Father,",29
Christ,29
into,29
said,28
ready.,28
did.,28
Don't,28
"life,",27
against,27
she,27
victim's,27
that.,27
too.,26
told,26
much.,26
help,26
on.,26
shall,25
much,25
made,25
"Lord,",25
believe,25
y'all.,25
move,25
put,25
doing,25
wanted,25
Give,24
"sorry,",24
better,24
him,24
"friends,",24
forgiveness.,24
here.,24
First,24
need,24
up.,23
sir.,23
Love,23
support,23
Allah,23
now.,23
ever,23
"Warden,",23
years.,23
truth,23
please,23
"Jesus,",22
Death,22
live,22
Ms.,22
people.,22
Texas,22
sure,22
statement,22
world,22
part,22
understand,21
too,21
"it,",21
"sir,",21
killed,21
When,21
killing,21
heads,21
anything,21
look,21
than,21
brothers,20
thing,20
hold,20
also,20
Thy,20
change,20
gonna,20
May,20
Be,20
Father,20
"God,",20
–,20
mean,20
won't,20
does,20
first,20
John,19
many,19
happened,19
talk,19
mercy,19
words,19
even,19
leave,19
today,19
thanks,19
though,18
support.,18
thought,18
happened.,18
great,18
stop,18
right.,18
Amen.,18
long,18
after,18
took,18
everybody.,18
two,18
No,18
closure,17
happening,17
Stay,17
coming,17
"up,",17
before,17
"this,",17
same,17
place.,17
mother,17
justice.,17
Let's,17
gave,17
taking,17
witness,17
us.,17
Let,17
again.,17
person,17
her.,17
As,17
head,17
name,17
wasn't,17
sister,17
murder,17
wrong,16
waiting,16
brought,16
time.,16
one.,16
hearts,16
everything.,16
Yes.,16
should,16
What,16
you're,16
goes,16
Christ.,16
best,16
call,16
without,16
tonight.,16
So,15
back.,15
row,15
wife,15
ones,15
die,15
came,15
Jesus.,15
kids,15
then,15
cannot,15
"death,",15
Warden,15
why,15
Heaven.,15
remember,15
hear,15
"say,",15
left,15
way.,15
else,15
I'd,15
go.,14
looking,14
beautiful,14
lost,14
spirit.,14
"ah,",14
helped,14
black,14
suffering,14
Ya'll,14
"do,",14
side.,14
learn,14
little,14
knew,14
guys,14
friends.,14
spirit,13
forever.,13
which,13
unto,13
going.,13
She,13
chance,13
anyone,13
closure.,13
given,13
off,13
wrong.,13
Now,13
showed,13
end,13
"heart,",13
O.K.,13
"know,",13
A,13
"ready,",13
real,13
His,13
rest,13
"Mom,",13
both,13
asked,13
"people,",12
Just,12
days,12
shown,12
Row,12
having,12
supporting,12
"row,",12
hard,12
forget,12
Do,12
loving,12
"said,",12
accept,12
"Christ,",12
mom,12
show,12
forgiven,12
soul.,12
"done,",12
world.,12
face,12
are.,12
someone,12
knows,12
deserve,12
well,12
Life,12
stand,12
brings,12
through.,12
bad,12
men,12
meant,12
standing,12
Y'all,12
be.,11
State,11
him.,11
thing.,11
address,11
"son,",11
glad,11
happy,11
anybody,11
Remember,11
"brother,",11
faith,11
state,11
son,11
giving,11
few,11
daughter,11
alright.,11
baby.,11
walk,11
reason,11
away,11
am.,11
"ya'll,",11
"strong,",11
able,11
know.,11
work,11
praise,11
carry,11
"them,",11
out.,11
fear,10
upon,10
"sister,",10
"peace,",10
Our,10
place,10
father,10
Today,10
sins.,10
to.,10
brother,10
Mrs.,10
Praise,10
"Allah,",10
"right,",10
system,10
myself.,10
miss,10
"world,",10
God's,10
statement.,10
"Irene,",10
"man,",10
friend,10
whole,10
In,10
around,10
comfort,10
"back,",10
"love,",10
called,10
commit,10
mad,10
One,10
innocent.,10
care.,10
matter,10
free.,10
struggle,10
loves,10
crime,10
police,10
execution,10
Thanks,10
"Well,",9
anything.,9
pain.,9
showing,9
strength,9
died,9
gone,9
ones.,9
art,9
ain't,9
send,9
Jack,9
human,9
Allah.,9
sister.,9
supported,9
forward.,9
Chaplain,9
nothing.,9
best.,9
prison,9
families,9
Mom,9
point,9
letter,9
thy,9
come.,9
went,9
"mom,",9
three,9
kingdom,9
"there,",9
past,9
murder.,9
guess,9
own,9
today.,9
trying,9
--,9
"y'all,",9
good.,9
worry,9
other.,9
over.,9
"that,",8
loss,8
soul,8
use,8
doesn't,8
taken,8
allowed,8
express,8
used,8
"Holy,",8
tonight,8
row.,8
again,8
toward,8
kids.,8
"today,",8
none,8
is.,8
tried,8
lay,8
guilty,8
die.,8
Go,8
true,8
lynching,8
such,8
isn't,8
"here,",8
bad.,8
brother.,8
mine,8
crime.,8
big,8
can't.,8
Not,8
behind,8
mistake,8
Forgive,8
name.,8
shot,8
father.,8
extend,8
anyone.,8
earth,8
lie,8
Mama,8
kind,8
understand.,8
Heavenly,8
Thou,8
ye,8
touch,8
"everybody,",8
free,8
sisters,8
written,8
putting,8
Father.,8
happen,8
"her,",8
power,8
truth.,8
"again,",8
"holy,",8
needs,8
justice,7
save,7
precious,7
"years,",7
"brothers,",7
raised,7
lives,7
dead.,7
praying,7
fight.,7
convicted,7
"father,",7
parents,7
